,gamma_autocorrelation,ocean_heat_capacity[0],ocean_heat_capacity[1],ocean_heat_capacity[2],ocean_heat_transfer[0],ocean_heat_transfer[1],ocean_heat_transfer[2],deep_ocean_efficacy,sigma_eta,sigma_xi,forcing_4co2,iirf_0[CO2],iirf_uptake[CO2],iirf_temperature[CO2],iirf_airborne[CO2],erfari_radiative_efficiency[BC],erfari_radiative_efficiency[OC],erfari_radiative_efficiency[Sulfur],erfari_radiative_efficiency[NOx],erfari_radiative_efficiency[VOC],erfari_radiative_efficiency[NH3],erfari_radiative_efficiency[CH4],erfari_radiative_efficiency[N2O],erfari_radiative_efficiency[Equivalent effective stratospheric chlorine],aci_shape[Sulfur],aci_shape[BC],aci_shape[OC],aci_scale,ozone_radiative_efficiency[CH4],ozone_radiative_efficiency[N2O],ozone_radiative_efficiency[Equivalent effective stratospheric chlorine],ozone_radiative_efficiency[CO],ozone_radiative_efficiency[VOC],ozone_radiative_efficiency[NOx],forcing_scale[CH4],forcing_scale[N2O],forcing_scale[CFC-11],forcing_scale[CFC-12],forcing_scale[CFC-113],forcing_scale[CFC-114],forcing_scale[CFC-115],forcing_scale[HCFC-22],forcing_scale[HCFC-141b],forcing_scale[HCFC-142b],forcing_scale[CCl4],forcing_scale[CHCl3],forcing_scale[CH2Cl2],forcing_scale[CH3Cl],forcing_scale[CH3CCl3],forcing_scale[CH3Br],forcing_scale[Halon-1211],forcing_scale[Halon-1301],forcing_scale[Halon-2402],forcing_scale[CF4],forcing_scale[C2F6],forcing_scale[C3F8],forcing_scale[c-C4F8],forcing_scale[C4F10],forcing_scale[C5F12],forcing_scale[C6F14],forcing_scale[C7F16],forcing_scale[C8F18],forcing_scale[NF3],forcing_scale[SF6],forcing_scale[SO2F2],forcing_scale[HFC-125],forcing_scale[HFC-134a],forcing_scale[HFC-143a],forcing_scale[HFC-152a],forcing_scale[HFC-227ea],forcing_scale[HFC-32],forcing_scale[HFC-365mfc],forcing_scale[HFC-4310mee],forcing_scale[HFC-23],forcing_scale[HFC-236fa],forcing_scale[HFC-245fa],forcing_scale[Stratospheric water vapour],forcing_scale[Land use],forcing_scale[Volcanic],forcing_scale[Solar],forcing_scale[Light absorbing particles on snow and ice],forcing_scale[CO2],baseline_concentration[CO2],seed,stochastic_run,use_seed
865307,4.354067324,4.469162342,16.78436922,64.42218563,1.161346629,2.08343742,0.970761085,1.222716103,0.730133132,0.252849379,7.188237952,32.08028035,-0.000728907,0.515330243,0.006754307,0.04024291,-0.005700957,0.000376307,-0.000117052,-1.42e-05,-0.000623126,-2.36e-06,-2.85e-05,-7.99e-06,4.08e-07,4.13e-94,2.14e-05,-5091.302195,0.00011329,0.001698835,-0.000104727,-9.99e-05,0.000209458,0.000261467,1.015115507,1.036964759,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,0.896644629,-0.292085819,0.875261378,0.975976549,1.303663875,0.738370362,0.94535187,278.6142202,346613256,False,False
1203991,4.013994269,3.154338927,16.10526943,27.89871049,1.160424931,2.516591752,1.676472341,1.658830845,0.927427739,0.328560006,6.87819649,29.78807534,0.003204343,3.099161545,0.001148601,0.066032427,-0.004124725,-0.006604985,-0.000110122,5.16e-06,-0.000673662,-2.99e-06,-4.2e-05,-7.69e-06,7.7e-07,1.88e-90,1.69e-07,-6896.575185,0.000235262,0.001074877,9.38e-05,-1.22e-05,1.63e-05,0.000427133,0.97555597,0.984658094,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,1.004303839,0.943479772,0.876406793,1.11490937,0.994646607,0.207790492,0.921782408,278.2231403,481748172,False,False
25940,4.14554015,4.812897294,7.83738221,161.4067243,1.177747512,2.717032247,0.957883157,1.238027904,0.655085462,0.481999772,7.152223881,25.10905455,0.007297795,1.923685773,0.002981919,0.013451596,-0.004525879,-0.002585684,-6.29e-05,-3.31e-05,-0.000673601,-1.01e-06,-4.15e-05,-8.19e-06,0.04290561,1.21e-34,0.194337833,-0.616930473,0.000225637,0.000695596,-2.93e-05,-4.9e-05,7.17e-06,0.001534064,1.031671973,1.065603007,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,1.014018549,0.459424724,1.516922564,1.003422451,0.87145841,2.344053583,0.942192635,276.8327652,11705823,False,False
1489628,3.412651595,3.842994225,14.5638773,76.29381028,0.981982344,1.763458314,0.995725788,1.09286717,0.322239537,0.617341119,7.424163468,32.88633137,0.000265998,1.489893092,0.003108067,0.05279207,-0.004933098,-0.00261711,-8.55e-05,-1.61e-05,-0.000580725,-2.16e-06,-6.93e-05,-7.13e-06,1.37e-06,2.66e-07,3.09e-05,-2588.688537,0.000259515,0.001894485,-7.58e-05,5.83e-05,0.0003916,0.000804126,0.986685891,0.980628705,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.940663069,0.957990082,0.795020731,0.875647236,1.491898471,0.979081174,0.96295763,279.3044203,595717335,False,False
687144,6.148324641,5.000897345,14.73548078,120.377725,1.250041419,2.866534286,1.195799033,1.350293175,1.137905277,0.693177054,8.444762517,28.7772345,0.003143801,3.504701159,0.002404499,0.029176879,-0.002351081,-0.004171881,-8.52e-05,-2.26e-05,-0.000649243,-2.05e-06,-5.54e-06,-9.16e-06,0.002822784,4.49e-17,0.01468187,-2.314991039,0.000226406,0.000952308,-6.04e-05,-3.42e-05,0.000394651,0.001065371,0.897176355,0.92210688,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,1.101367242,0.191097194,1.38032593,1.107885696,0.744268285,1.744975357,1.03481002,278.4923088,275526219,False,False
639261,10.79365679,4.457775587,18.54647959,94.50633389,1.610577775,2.296084008,1.831011263,1.072156101,1.582052561,0.491111629,7.687516941,33.89026263,-0.001126992,2.612786775,0.003558953,0.023154683,-0.003147991,-0.003276451,-7.88e-05,-2.08e-05,-0.000689143,-3.92e-06,-3.41e-05,-8.96e-06,0.014231365,194.8831497,1.66e-18,-0.640961832,0.000251578,0.000923041,-1.78e-05,9.64e-05,0.000274525,0.000978058,0.978357303,0.983050387,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,0.996122445,1.789640872,0.76068985,0.888131909,1.556863613,1.608087773,0.981572565,277.8212699,256420902,False,False
943371,2.299433173,5.655530025,26.42138767,48.32392047,1.231171214,1.046123916,1.028515482,1.885554638,0.646372864,0.349933275,7.239803532,36.95854975,-0.004764882,0.029521656,0.005131319,0.017535949,-0.003851064,-0.004441685,-0.000110541,-4.15e-05,-0.000612569,-3.1e-06,-4.89e-05,-7.88e-06,0.007005723,25254.26706,1.8e-19,-0.347968054,0.000188927,0.000995353,-0.000100694,-5.64e-05,0.000135418,0.001932702,0.863993433,1.140920141,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.95746479,0.732831855,0.479364615,1.148645138,1.450577532,0.689544587,0.949372701,283.5379317,377760792,False,False
1182234,2.27459638,5.731316415,21.93032732,59.47881369,1.39598682,1.225973515,2.241490414,1.54282014,0.633223508,0.414002158,8.489258614,28.53440171,0.005684002,4.770303147,-0.00081895,0.023990618,-0.004315041,-0.005110561,-0.000130991,-2.69e-05,-0.000590514,-4.77e-07,-2.9e-05,-7.07e-06,0.046839851,4.3399999999999996e-42,1.177489939,-2.352407313,0.000233561,0.001346157,2.57e-05,-5.4e-05,0.000782526,0.001786344,1.150078598,0.930922918,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.027369563,1.459953597,0.202795989,0.756778637,1.101782279,1.170564311,1.03767027,276.9195165,473067129,False,False
1195753,9.05217699,3.590711667,6.00817867,90.09485956,1.273734367,2.84281707,1.511451417,1.257329587,1.420245392,0.310907354,7.76334708,29.16628513,0.003323607,3.804884287,0.001932186,0.011639121,-0.005565105,-0.001793719,-0.000108089,-1.54e-05,-0.000637003,-2e-06,-1.99e-05,-1.02e-05,0.024852702,7.63e-37,1.63e-13,-0.89077077,0.00024266,0.000617495,-0.000113072,2.57e-05,0.000351362,0.002352602,0.953340887,0.804443958,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.110638946,1.389117367,0.39943949,1.278546617,1.062243738,1.215945084,0.987846682,277.2617002,478461210,False,False
1298609,5.910175419,4.965920609,28.47901089,98.04414011,1.543858531,1.613517082,2.253551193,1.069458486,0.833375582,0.328056886,7.466609911,31.81830493,0.001278689,3.820757265,0.001327367,0.038957934,-0.004945472,-0.001069499,-0.000101917,-2.36e-05,-0.000600115,-3.06e-06,-3.17e-05,-9.06e-06,0.006800404,10.44904353,3.1e-18,-0.836033127,0.000297078,0.001266098,-3.28e-05,6.8e-05,0.000148288,0.002147647,1.045534195,1.114091731,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,0.982494749,1.330792049,1.235215747,0.804752863,0.899575495,0.651429636,0.965779101,277.9396403,519500754,False,False
363240,10.27898252,4.85737008,20.8921158,89.29021854,1.20921706,2.501374682,1.825715894,1.267232065,1.552706385,0.677759633,9.919955191,32.50880677,-0.001894039,5.310446156,0.002078496,0.024208074,-0.004073624,-0.003100444,-0.000119042,-1.77e-05,-0.000564388,-2.23e-06,-3.5e-05,-8.46e-06,1.44e-06,0.000116,6.8e-07,-1407.13542,0.000281754,0.001443611,-4.15e-05,3.14e-05,0.000235107,0.000384496,0.84932724,0.983167164,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.115760197,1.488577879,1.153928345,1.200394119,1.313840717,2.596909934,1.141991507,281.4735817,146288523,False,False
438582,6.769201295,4.594149611,26.17997174,27.62519135,1.65679945,2.07622782,9.840937597,1.897584526,1.700070845,0.626135363,9.709996468,38.22402428,-0.003805627,-0.694112189,0.005307174,0.031641248,-0.004934945,-0.004066462,-8.44e-05,-2.58e-05,-0.00069129,-2.78e-06,-5.74e-05,-8.92e-06,0.026466371,1995.283017,1.54e-17,-0.628857069,0.000252149,0.00120004,6.9e-05,5.63e-05,0.000299245,0.000258915,0.886280231,0.993021527,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,0.908270153,1.316472278,1.239110752,0.877311887,0.970064556,1.782962773,1.125412364,276.9055059,176349981,False,False
